상품코드,채널
000254,ali
000254,allways
000254,baemin
000254,cashnote
000254,coupang
000254,esm
000254,sikbom
000254,smartstore
000534,ali
000534,allways
000534,baemin
000534,cashnote
000534,coupang
000534,esm
000534,sikbom
000534,smartstore
001543,ali
001543,allways
001543,baemin
001543,cashnote
001543,coupang
001543,esm
001543,sikbom
001543,smartstore
001681,ali
001681,allways
001681,baemin
001681,cashnote
001681,coupang
001681,esm
001681,sikbom
001681,smartstore
003431,ali
003431,allways
003431,baemin
003431,cashnote
003431,coupang
003431,esm
003431,sikbom
003431,smartstore
003601,ali
003601,allways
003601,baemin
003601,cashnote
003601,coupang
003601,esm
003601,sikbom
003601,smartstore
004050,ali
004050,allways
004050,baemin
004050,cashnote
004050,coupang
004050,esm
004050,sikbom
004050,smartstore
004051,ali
004051,allways
004051,baemin
004051,cashnote
004051,coupang
004051,esm
004051,sikbom
004051,smartstore
004052,ali
004052,allways
004052,baemin
004052,cashnote
004052,coupang
004052,esm
004052,sikbom
004052,smartstore
004065,ali
004065,allways
004065,baemin
004065,cashnote
004065,coupang
004065,esm
004065,sikbom
004065,smartstore
