상호명,구분,첫확인,출처,비고
(주)나들커뮤니케이션,나들,2026-08-03,export:2026-08-01~2026-09-07,
#주식회사한서종합물류,사업부밖,2026-09-07,전사파케이 8/1~9/7에 있으나 인터넷사업부 export에 없음 → 오프라인 확정,
(주) 대하식자재마트,사업부밖,2026-09-07,전사파케이 8/1~9/7에 있으나 인터넷사업부 export에 없음 → 오프라인 확정,
(주) 팀쿡코리아(이천),사업부밖,2026-09-07,전사파케이 8/1~9/7에 있으나 인터넷사업부 export에 없음 → 오프라인 확정,
(주)강남상사(석촌동원),사업부밖,2026-09-07,전사파케이 8/1~9/7에 있으나 인터넷사업부 export에 없음 → 오프라인 확정,
(주)그린로드,사업부밖,2026-09-07,전사파케이 8/1~9/7에 있으나 인터넷사업부 export에 없음 → 오프라인 확정,
(주)대광로지스틱스,사업부밖,2026-09-07,전사파케이 8/1~9/7에 있으나 인터넷사업부 export에 없음 → 오프라인 확정,
(주)한마음식자재클럽,사업부밖,2026-09-07,전사파케이 8/1~9/7에 있으나 인터넷사업부 export에 없음 → 오프라인 확정,
대산에프앤비,사업부밖,2026-09-07,전사파케이 8/1~9/7에 있으나 인터넷사업부 export에 없음 → 오프라인 확정,
전국식자재물류협동조합,사업부밖,2026-09-07,전사파케이 8/1~9/7에 있으나 인터넷사업부 export에 없음 → 오프라인 확정,
주식회사 티제이에스리테일,사업부밖,2026-09-07,전사파케이 8/1~9/7에 있으나 인터넷사업부 export에 없음 → 오프라인 확정,
주식회사 푸드앤플러스,사업부밖,2026-09-07,전사파케이 8/1~9/7에 있으나 인터넷사업부 export에 없음 → 오프라인 확정,
한마음식자재마트 향남점,사업부밖,2026-09-07,전사파케이 8/1~9/7에 있으나 인터넷사업부 export에 없음 → 오프라인 확정,
# (주) 이유비즈글로벌,온라인B2B,2026-08-25,export:2026-08-01~2026-09-07,
# (주) 한국임업,온라인B2B,2026-09-01,export:2026-08-01~2026-09-07,
# 성호상사,온라인B2B,2026-09-03,export:2026-08-01~2026-09-07,
# 엔플러스병원,온라인B2B,2026-09-04,export:2026-08-01~2026-09-07,
# 일만종합상사,온라인B2B,2026-08-27,export:2026-08-01~2026-09-07,
(사) 부산장애인부모회 기장지회,온라인B2B,2026-09-04,export:2026-08-01~2026-09-07,
